number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude
42,dublin,SMITHFIELD NORTH,Smithfield North,False,False,30,5,25,OPEN,1743808036000,53.349562,-6.278198
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,False,False,20,8,12,OPEN,1743808272000,53.3537415547453,-6.26530144781526
54,dublin,CLONMEL STREET,Clonmel Street,False,False,33,30,3,OPEN,1743808226000,53.336021,-6.26298
108,dublin,AVONDALE ROAD,Avondale Road,False,False,35,35,0,OPEN,1743808147000,53.359405,-6.276142
20,dublin,JAMES STREET EAST,James Street East,False,False,30,17,13,OPEN,1743808246000,53.336597,-6.248109
56,dublin,MOUNT STREET LOWER,Mount Street Lower,False,False,40,36,4,OPEN,1743808261000,53.33796,-6.24153
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,False,False,20,4,16,OPEN,1743808061000,53.343368,-6.27012
18,dublin,GRANTHAM STREET,Grantham Street,False,False,30,23,7,OPEN,1743808195000,53.334123,-6.265436
32,dublin,PEARSE STREET,Pearse Street,False,False,30,19,11,OPEN,1743808116000,53.344304,-6.250427
52,dublin,YORK STREET EAST,York Street East,False,False,32,29,3,OPEN,1743808010000,53.338755,-6.262003
48,dublin,EXCISE WALK,Excise Walk,False,False,40,25,15,OPEN,1743808073000,53.347777,-6.244239
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,False,False,30,30,0,OPEN,1743808054000,53.336074,-6.252825
43,dublin,PORTOBELLO ROAD,Portobello Road,False,False,30,12,18,OPEN,1743808207000,53.330091,-6.268044
31,dublin,PARNELL STREET,Parnell Street,False,False,20,3,17,OPEN,1743808059000,53.350929,-6.265125
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,False,False,40,38,2,OPEN,1743808049000,53.341515,-6.256853
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,False,False,30,12,18,OPEN,1743808274000,53.344603,-6.263371
1,dublin,CLARENDON ROW,Clarendon Row,False,False,31,22,9,OPEN,1743808227000,53.340927,-6.262501
23,dublin,CUSTOM HOUSE,Custom House,False,False,30,7,22,OPEN,1743808179000,53.348279,-6.254662
106,dublin,RATHDOWN ROAD,Rathdown Road,False,False,40,34,6,OPEN,1743807987000,53.35893,-6.280337
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),False,False,30,12,18,OPEN,1743808179000,53.357841,-6.251557
68,dublin,HANOVER QUAY,Hanover Quay,False,False,40,30,10,OPEN,1743808231000,53.344115,-6.237153
74,dublin,OLIVER BOND STREET,Oliver Bond Street,False,False,30,16,14,OPEN,1743808112000,53.343893,-6.280531
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,False,False,38,16,22,OPEN,1743808067000,53.347477,-6.28525
84,dublin,BROOKFIELD ROAD,Brookfield Road,False,False,30,9,21,OPEN,1743808080000,53.339005,-6.300217
90,dublin,BENSON STREET,Benson Street,False,False,40,24,16,OPEN,1743808298000,53.344153,-6.233451
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,False,False,30,30,0,OPEN,1743807933000,53.334295,-6.258503
17,dublin,GOLDEN LANE,Golden Lane,False,False,20,3,17,OPEN,1743808034000,53.340803,-6.267732
45,dublin,DEVERELL PLACE,Deverell Place,False,False,30,7,23,OPEN,1743808218000,53.351464,-6.255265
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),False,False,40,33,7,OPEN,1743808266000,53.333653,-6.248345
72,dublin,JOHN STREET WEST,John Street West,False,False,31,25,6,OPEN,1743808217000,53.343105,-6.277167
63,dublin,FENIAN STREET,Fenian Street,False,False,35,11,24,OPEN,1743808092000,53.341428,-6.24672
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,False,False,40,40,0,OPEN,1743808071000,53.338614,-6.248606
91,dublin,SOUTH DOCK ROAD,South Dock Road,False,False,30,2,28,OPEN,1743808153000,53.341833,-6.231291
99,dublin,CITY QUAY,City Quay,False,False,30,29,1,OPEN,1743808118000,53.346637,-6.246154
9,dublin,EXCHEQUER STREET,Exchequer Street,False,False,24,6,18,OPEN,1743808262000,53.343034,-6.263578
67,dublin,THE POINT,The Point,False,False,40,29,11,OPEN,1743808122000,53.346867,-6.230852
116,dublin,BROADSTONE,Broadstone,False,False,30,24,6,OPEN,1743807920000,53.3547,-6.272314
55,dublin,HATCH STREET,Hatch Street,False,False,36,36,0,OPEN,1743807752000,53.33403,-6.260714
62,dublin,LIME STREET,Lime Street,False,False,40,36,4,OPEN,1743808113000,53.346026,-6.243576
5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,40,24,16,OPEN,1743807876000,53.330662,-6.260177
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,40,19,21,OPEN,1743808058000,53.342113,-6.310015
61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,25,24,1,OPEN,1743808043000,53.357043,-6.263232
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,False,False,29,1,28,OPEN,1743808109000,53.348875,-6.267459
73,dublin,FRANCIS STREET,Francis Street,False,False,30,12,18,OPEN,1743808110000,53.342081,-6.275233
4,dublin,GREEK STREET,Greek Street,False,False,20,4,16,OPEN,1743808140000,53.346874,-6.272976
49,dublin,GUILD STREET,Guild Street,False,False,40,17,23,OPEN,1743807853000,53.347932,-6.240928
19,dublin,HERBERT PLACE,Herbert Place,False,False,30,30,0,OPEN,1743808266000,53.334432,-6.245575
7,dublin,HIGH STREET,High Street,False,False,29,11,18,OPEN,1743808002000,53.343565,-6.275071
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,False,False,30,5,25,OPEN,1743808250000,53.359624,-6.260348
102,dublin,WESTERN WAY,Western Way,False,False,40,34,6,OPEN,1743808103000,53.354929,-6.269425
